,drivers_emotions_1,drivers_emotions_2,drivers_emotions_3,drivers_emotions_4,drivers_emotions_5,pit_stops_mechanics_6,pit_stops_mechanics_7,pit_stops_mechanics_8,pit_stops_mechanics_9,pit_stops_mechanics_10,cars_track_moments_11,cars_track_moments_12,cars_track_moments_13,cars_track_moments_14,cars_track_moments_15,strategy_data_16,strategy_data_17,strategy_data_18,strategy_data_19,strategy_data_20
drivers_emotions_1,0.28343526,0.2542258,0.26748908,0.21917206,0.27704,0.16919538,0.22094426,0.19331548,0.2159794,0.15295932,0.17877725,0.1900825,0.13299638,0.25845444,0.25078458,0.230591,0.2180397,0.23501728,0.22579506,0.24813361
drivers_emotions_2,0.18880935,0.31631413,0.18331884,0.30995995,0.27153283,0.15488555,0.22799826,0.23988658,0.1841557,0.20903222,0.18581861,0.23267831,0.24031107,0.22474657,0.20962818,0.18454558,0.21092865,0.2277242,0.1927205,0.19159347
drivers_emotions_3,0.20934495,0.24123801,0.32735056,0.21560055,0.24970758,0.23089844,0.2821148,0.23733383,0.22203559,0.24512962,0.21283814,0.22394967,0.21775056,0.3075925,0.32210118,0.26348668,0.23713861,0.25612688,0.2581281,0.29034567
drivers_emotions_4,0.2112141,0.28799433,0.18981741,0.31582236,0.25249904,0.109337926,0.18001303,0.20356095,0.1277084,0.18641971,0.13100412,0.21085474,0.18632352,0.21593247,0.22199893,0.17735808,0.18490124,0.18685652,0.16220066,0.1858452
drivers_emotions_5,0.27691227,0.29094744,0.22070515,0.25709668,0.30839628,0.16006047,0.20147805,0.21757492,0.16673008,0.21657446,0.16950296,0.23679887,0.22533192,0.20788214,0.20247963,0.16505656,0.17226051,0.20138335,0.17985138,0.2150344
pit_stops_mechanics_6,0.21407303,0.22898054,0.24746957,0.23202509,0.2588865,0.3800835,0.2680973,0.25843778,0.23278116,0.30775318,0.26567447,0.18834141,0.25930136,0.27998275,0.27971774,0.20572826,0.25994858,0.2680166,0.23846234,0.22289896
pit_stops_mechanics_7,0.20514737,0.27415502,0.25347367,0.2706094,0.27627772,0.23717833,0.2868832,0.27068645,0.18649888,0.28513426,0.19843134,0.2943418,0.24684772,0.2601595,0.24796015,0.20593108,0.24878643,0.2686322,0.22806676,0.21540771
pit_stops_mechanics_8,0.238067,0.29754716,0.24117325,0.2715374,0.27508342,0.24094185,0.25960958,0.28701222,0.20322597,0.30112866,0.2838937,0.27926517,0.21910521,0.2567218,0.2459929,0.19685113,0.220745,0.25568104,0.19804752,0.22572836
pit_stops_mechanics_9,0.18894333,0.23087996,0.2199543,0.21012086,0.23313539,0.18003139,0.28778565,0.24760227,0.27265137,0.23253995,0.25380296,0.21077207,0.19640191,0.23613468,0.23802987,0.19392008,0.21067771,0.25371802,0.20186242,0.1914797
pit_stops_mechanics_10,0.17189668,0.25881174,0.24202593,0.24344973,0.23224162,0.28221586,0.26556265,0.30744165,0.18959646,0.3507777,0.16835135,0.22160679,0.22100912,0.24385405,0.25670332,0.20641586,0.22924331,0.2724314,0.22324757,0.1956749
cars_track_moments_11,0.17754862,0.219881,0.21181229,0.22003111,0.27918506,0.22385009,0.28104648,0.21538687,0.2086083,0.20095018,0.31506574,0.19288656,0.23074731,0.24621914,0.24648535,0.17593288,0.20497316,0.26143417,0.20615935,0.2145131
cars_track_moments_12,0.23008148,0.26765504,0.24680087,0.25070685,0.2510622,0.17306943,0.24265793,0.23066302,0.2137521,0.21200162,0.2225748,0.32301265,0.23548456,0.23138338,0.22234322,0.1872416,0.20773819,0.2108876,0.17049,0.21530601
