,drivers_emotions_1,drivers_emotions_2,drivers_emotions_3,drivers_emotions_4,drivers_emotions_5,pit_stops_mechanics_6,pit_stops_mechanics_7,pit_stops_mechanics_8,pit_stops_mechanics_9,pit_stops_mechanics_10,cars_track_moments_11,cars_track_moments_12,cars_track_moments_13,cars_track_moments_14,cars_track_moments_15,strategy_data_16,strategy_data_17,strategy_data_18,strategy_data_19,strategy_data_20
drivers_emotions_1,-0.21795377,-0.22632375,-0.051962107,0.10919419,-0.026735093,0.35259393,0.062021192,-0.4320236,0.26718926,-0.0449865,0.5723403,0.47231096,0.3121817,0.1026978,0.28011766,-0.31814644,-0.097110994,-0.23075958,-0.3951269,-0.18337747
drivers_emotions_2,0.6044084,0.2850847,-0.02972183,0.30481672,0.44993588,-0.25133088,0.23199116,-0.024989473,-0.061897766,-0.19753818,-0.12542023,0.06645135,-0.13347955,-0.4638554,-0.17822705,-0.2977064,0.26700702,-0.16102117,-0.17996192,-0.21600895
drivers_emotions_3,0.08298151,-0.3956747,-0.33934695,-0.3802002,-0.19245027,-0.09672886,-0.1981751,-0.3027294,0.0866531,-0.346304,-0.029306538,-0.05820428,0.069996744,0.46494097,0.09094313,0.16584006,0.17087984,0.3588554,0.38155785,0.18852128
drivers_emotions_4,-0.021065572,-0.0823996,-0.33956754,-0.027998716,0.31415004,-0.040949117,-0.24294004,-0.2907026,-0.1121902,-0.17300165,0.35448363,0.27729604,0.61941546,-0.1941678,-0.04148993,0.07337915,-0.27090433,-0.2431299,0.4118089,-0.090665676
drivers_emotions_5,-0.27784958,0.16856013,0.11054139,-0.4626166,0.5970443,0.15847774,0.039550573,-0.17012769,-0.30041096,-0.092315465,0.22527662,0.1824809,0.36732388,0.1321922,0.41886967,-0.29122436,-0.20188601,-0.11133172,-0.23877935,0.035761826
pit_stops_mechanics_6,0.29796094,0.031073757,0.32919487,0.11499039,-0.16727355,-0.31869823,-0.33159056,0.07741862,-0.34449515,-0.05296627,-0.07943281,-0.061848458,-0.07195885,0.38212296,0.33913633,0.14397497,0.09179961,-0.54269004,0.33148274,0.020556755
pit_stops_mechanics_7,-0.070299104,-0.043691777,0.27057847,0.06937897,0.18115607,-0.3190987,-0.11392327,-0.011676483,-0.249303,-0.5586677,0.046284597,-0.20024846,-0.2126731,-0.25986624,0.0438945,0.13813442,-0.06734739,0.61774385,0.17055538,0.25627777
pit_stops_mechanics_8,0.16282208,0.25575274,0.16193616,-0.029514926,-0.26176134,-0.39094222,-0.21211793,-0.17673354,-0.1486446,0.1181783,-0.057699397,0.2504112,-0.21051079,0.13499792,-0.023743916,0.1069682,-0.46195415,0.21836135,0.07921639,0.38711753
pit_stops_mechanics_9,0.107488595,-0.0793246,-0.17165604,0.12826137,0.12633345,0.2963466,-0.06821412,0.2502101,-0.07096082,-0.011295342,0.024611216,-0.42053005,-0.5217361,-0.3199839,-0.43159992,0.034049504,0.3435376,0.008572574,0.19014926,0.37133276
pit_stops_mechanics_10,0.06939719,-0.18789253,0.49217385,0.08362256,0.07481397,-0.2885179,0.09399513,-0.1958264,-0.09425894,0.21075626,-0.27441937,-0.2927447,0.07030731,0.3931841,0.21584457,0.056327272,-0.24842133,-0.41801402,0.33516604,0.08163073
cars_track_moments_11,0.16575724,0.19083638,-0.12870426,-0.066157,-0.2757697,0.303045,-0.36586958,-0.28660527,-0.14733344,0.31735963,-0.088757075,-0.47222543,-0.30130896,-0.3072223,-0.4496913,0.29758686,0.4869846,0.27918485,0.2268742,0.28882566
cars_track_moments_12,-0.02056055,-0.16307524,0.14997444,-0.16505323,-0.20028403,-0.22955441,-0.28720462,-0.13539696,0.1643028,-0.40158135,-0.27310666,-0.19859937,-0.09726023,0.0030307497,-0.3841685,0.41968733,0.053023532,0.6179716,0.031492934,0.6212426
cars_track_moments_13,0.50701636,0.17510092,-0.23995706,0.38907704,-0.1391452,0.51667035,-0.32260484,0.23154525,-0.19508627,0.13679653,-0.2734709,-0.3443798,0.26531485,-0.186817,-0.47545058,-0.1566632,-0.16249594,0.19982061,-0.15018684,-0.15156177
cars_track_moments_14,-0.045226213,-0.0912891,-0.062036574,-0.22028674,-0.18552947,0.1672837,0.1298887,-0.17740242,-0.13446629,-0.2462171,-0.36893016,-0.22654347,-0.32630256,-0.14214733,-0.33459488,0.66716486,0.18328744,0.4490683,0.43455938,0.08485665
cars_track_moments_15,0.0022845967,-0.3639008,-0.1344064,-0.17927055,-0.12241418,-0.16853221,-0.14856575,-0.17051001,-0.40642762,0.052001037,-0.42050385,-0.027410591,-0.11734443,-0.19589828,-0.16659357,0.780697,0.09894015,0.6003799,0.16063005,0.43283054
strategy_data_16,0.011678931,0.32901925,-0.019270657,0.17314361,0.34915683,-0.0720396,0.24556723,0.4361014,0.47415182,0.18667638,0.20578453,0.07397065,-0.3502796,0.052676506,0.07963509,-0.17879203,-0.109485984,-0.23982492,-0.638277,-0.68459404
strategy_data_17,-0.3418152,-0.2871289,0.15145709,-0.18382256,-0.2649605,0.18288581,0.09410703,0.1298466,0.3097811,0.2937658,0.06381302,0.5677192,0.20058316,0.31924325,0.17125148,-0.396609,0.23228358,-0.36818615,-0.07747254,-0.32811084
